Year,Colorado,Utah,Wyoming,Intermountain West
1984,4.754,21.176,0,25.93
1985,2.264,35.334,15.91,53.508
1986,48.888,151.58,4.078,204.546
1987,17.507,57.563,11.497,86.567
1988,51.734,59.721,1657.988,1769.443
1989,28.22,50.638,3.298,82.156
1990,4.949,19.825,0,24.774
1991,0,11.778,28.936,40.714
1992,0,22.943,5.391,28.334
1993,28.805,15.209,3.161,47.175
1994,46.889,228.277,53.309,328.475
1995,8.847,179.972,1.721,190.54
1996,88.629,506.64,266.139,861.408
1997,13.489,17.437,18.423,49.349
1998,24.336,107.814,7.675,139.825
1999,19.342,177.154,87.367,283.863
2000,107.069,242.272,350.234,699.575
2001,35.625,123.085,57.638,216.348
2002,442.657,277.84,121.544,842.041
2003,37.277,101.672,86.314,225.263
2004,27.745,83.682,13.24,124.667
2005,19.659,748.022,24.205,791.886
2006,36.321,316.257,236.521,589.099
2007,13.51,820.372,103.409,937.291
2008,185.012,63.11,95.876,343.998
2009,76.13,140.926,30.366,247.422
2010,73.397,87.338,89.087,249.822
2011,190.498,79.137,115.241,384.876
2012,255.22,431.699,436.339,1123.258
2013,211.466,84.311,42.591,338.368
2014,44.756,44.056,3.13,91.942
2015,48.78,29.234,18.227,96.241
2016,160.102,123.035,309.015,592.152
2017,134.812,268.346,119.131,522.289
2018,475.803,438.938,231.033,1145.774
2019,450.392,92.38,35.105,577.877
2020,625.357,329.735,339.782,1294.874
2021,48.195,60.863,31.915,140.973
2022,257.342,27.245,22.917,307.504
2023,41.917,18.109,3.979,64.005
2024,60.539,90.417,620.069,771.025
2025,244.155,192.798,215.29,652.243
