year,wildfireloss,totalloss,percentfire
1996,0.15478,15.74,0.98
1997,0.08513,19.65,0.43
1998,0.93627,30.1,3.11
1999,0.27012,22.96,1.18
2000,3.91,16.45,23.77
2001,0.08099,21.2,0.38
2002,0.35797,9.13,3.92
2003,4.06,19.5,20.82
2004,0.029,44.74,0.06
2005,0.06584,162.26,0.04
2006,0.666,17.32,3.85
2007,2.16,18.77,11.51
2008,0.354,44.2,0.80
2009,0.167,10.96,1.52
2010,0.359,17.01,2.11
2011,0.967,33.42,2.89
2012,2.03,53.45,3.80
2013,0.486,17.96,2.71
2014,0.435,10.31,4.22
2015,0.031,6.66,0.47
2016,0.243,24.39,1.00
2017,0.204,106.51,0.19
2018,23.7,51.15,46.33
2019,0.035,9.49,0.37
2020,0.563,33.44,1.68
2021,2.37,23.18,10.22
2022,0.682,23.41,2.91
2023,6.14,14.27,43.03
2024,1.18,18.17,6.49
2025,61.2,115,53.22
