year,avtemp,avprecip,pdsi,macres
1895,47.8,19.2,-1.12,
1896,49.3,23.65,3.19,
1897,48.6,22.64,1.56,
1898,48.3,16.09,-1.65,
1899,48.3,21.41,1.29,
1900,50.1,18.15,-0.53,
1901,49.5,19.28,-1.89,
1902,48.7,20.27,1.38,
1903,48,18.71,-0.63,
1904,49.6,21.69,-1.78,
1905,48.7,20.71,-0.64,
1906,49.1,25.62,3.9,
1907,49.1,23.62,2.99,
1908,48.4,19.03,1.72,
1909,48.3,25.2,3.37,
1910,50.2,17.43,0.03,
1911,47.9,20.45,-0.88,
1912,47.4,20.81,2.38,
1913,47.7,20.13,2.17,
1914,49.4,21.36,-1.48,
1915,49,21.84,1.68,
1916,47.5,23.06,2.11,
1917,48.2,17.93,-2.57,
1918,49.1,19.77,-1.82,
1919,48.3,19.43,-1.25,
1920,48.2,20.87,2.61,
1921,49.9,21.61,2.02,
1922,48,19.36,-1.04,
1923,48.3,19.53,-0.73,
1924,48.5,15.62,0.85,
1925,49.8,19.64,-1.16,
1926,50.4,20.4,1.08,
1927,49.1,23.6,-0.01,
1928,49.4,16.5,-2.38,
1929,48.2,15.8,-3.58,
1930,48.5,17.37,-2.92,
1931,49.6,19.9,1.14,
1932,48.2,19.29,-1.37,
1933,49,19.41,-1.14,
1934,52.5,17.22,-3.63,
1935,49,17.5,-3.13,
1936,50.1,20.02,-3.67,
1937,48.9,22.82,0.77,
1938,49.6,21.66,-1.01,
1939,50.2,15.92,-4.79,
1940,51,23.93,1.38,
1941,49.4,26.74,5.61,
1942,48.9,19.95,2.78,
1943,49.9,18.89,-2.23,
1944,48.2,18.23,-0.93,
1945,48.9,22.4,2.36,
1946,49.3,20.09,2.28,
1947,49.6,18.06,-0.27,
1948,48,21.29,1.72,
1949,48.1,17.98,-2.26,
1950,49.6,21.65,0.65,
1951,48.7,21.66,2.26,
1952,48.8,18.91,0.1,
1953,50,19.3,-1.71,
1954,50.2,19.23,-2.49,
1955,47.8,21.27,2.69,
1956,49.1,17.15,-3,
1957,49,22.85,2.76,
1958,50.9,21.77,-1.95,
1959,49.9,18.32,-2.63,
1960,49.5,18.99,-2.35,
1961,49.7,19.9,0.65,
1962,49.5,19.04,-0.92,
1963,49.9,20.54,-0.72,
1964,47.9,21.83,2.53,
1965,48.9,21.31,3.01,
1966,49.8,17.68,0.68,
1967,49.7,21.08,-0.77,
1968,49,20.85,1.59,
1969,49.5,21.89,-0.87,
1970,49.2,22.22,1.68,
1971,48.4,21.4,2.74,
1972,49.2,20.45,1.87,
1973,48.9,21.48,2.28,
1974,49.6,19.37,-2.58,
1975,48,21.93,-0.11,
1976,49.2,15.47,-3.57,
1977,50.1,18.79,0.56,
1978,49.4,22.84,0.09,
1979,49.1,19.52,-1.56,
1980,50.1,22.41,-1.53,
1981,51.3,22.39,2.42,
1982,48.3,25.53,5.17,
1983,49.5,29.51,7.87,1.324
1984,48.7,22.32,6.49,1.148
1985,48.4,17.47,1.54,2.896
1986,50.8,21.98,-1.09,2.719
1987,50.3,18.59,-2.73,2.447
1988,50.5,18.21,-1.9,5.009
1989,50.1,16.22,-4.28,1.827
1990,50.1,19.7,-2.61,4.622
1991,49.8,19.9,-0.65,2.954
1992,50.9,19.88,0.45,2.07
1993,48.8,21.61,-1.91,1.798
1994,50.8,18.59,1.46,4.074
1995,50.8,25.85,3.02,1.841
1996,50.8,25.89,3.78,6.066
1997,50.3,22.09,2.15,2.857
1998,50.1,26.6,4.61,1.33
1999,50.5,19.31,-2.53,5.626
2000,51,18.47,-3.64,7.393
2001,51.1,18.03,-3.8,3.571
2002,50.5,15.99,-4.4,7.185
2003,51.8,19.19,-3.53,3.961
2004,50.7,20.12,0.98,8.098
2005,50.8,22.57,1.31,8.689
2006,50.9,21.73,-0.77,9.874
2007,51.2,17.36,-3.39,9.328
2008,50,18.27,-3.11,5.292
2009,50.3,17.64,-2.71,5.922
2010,50.1,24.19,2.96,3.423
2011,49.5,19.45,-1.8,8.711
2012,51.9,20.59,-2.38,9.326
2013,50.4,15.53,-3.54,4.32
2014,52.2,21.11,-2.71,3.596
2015,52.6,19.79,-1.78,10.125
2016,52,22.06,1.21,5.51
2017,52,22.65,-2.92,10.026
2018,51.8,17.98,-4.25,8.767
2019,50,21.77,-1.39,4.664
2020,52,15.63,-5.37,10.122
2021,52.2,18.85,-4.52,7.126
2022,51.1,18.23,0.55,7.577
2023,50.5,20.27,-2.69,2.694
2024,52.3,20.62,-3.31,8.925
2025,52.7,19.8,-3.33,5.802
